# StartTime = 07/20/2018 01:33:06.3941 PM
Time (sec), Vehicle speed (MPH), Engine RPM (RPM), Absolute throttle position (%), Absolute load value (%)
21.561,68.97221,2599,33.33333,74.11765
21.624,68.97221,2599,33.33333,74.11765
21.688,68.97221,2598,33.72549,74.11765
21.752,68.97221,2598,33.72549,73.33334
21.812,69.59357,2598,33.72549,73.33334
21.877,69.59357,2598,33.72549,73.33334
21.937,69.59357,2598,33.72549,74.90196
22.001,69.59357,2598,33.72549,74.90196
22.061,69.59357,2598,33.72549,74.90196
22.127,69.59357,2625,33.72549,74.90196
22.187,69.59357,2625,33.72549,73.33334
22.251,69.59357,2625,33.72549,73.33334
22.312,69.59357,2616,33.72549,73.33334
22.377,69.59357,2616,33.72549,72.54902
22.437,69.59357,2616,33.72549,72.54902
22.501,69.59357,2625,33.72549,72.54902
22.564,69.59357,2625,37.2549,72.54902
22.624,70.21494,2625,37.2549,75.29412
22.688,70.21494,2625,37.2549,75.29412
22.748,70.21494,2634,38.82353,75.29412
22.812,70.21494,2634,38.82353,79.60784
22.877,70.21494,2634,38.82353,79.60784
22.937,70.21494,2635,38.82353,79.60784
23.001,70.21494,2635,40,76.07843
23.061,70.21494,2635,40,76.07843
23.127,70.21494,2635,40,76.07843
23.187,70.21494,2652,43.52941,76.07843
23.251,70.21494,2652,43.52941,80.39216
23.312,70.21494,2652,43.52941,80.39216
23.377,70.21494,2648,43.52941,80.39216
23.437,70.21494,2648,43.92157,80.39216
23.501,70.83632,2648,43.92157,80.39216
23.563,70.83632,2661,43.92157,80.39216
23.627,70.83632,2661,45.09804,73.33334
23.686,70.83632,2661,45.09804,73.33334
23.75,70.83632,2661,45.09804,73.33334
23.814,70.83632,2676,45.88235,73.33334
23.877,70.83632,2676,45.88235,79.60784
23.937,70.83632,2676,45.88235,79.60784
24.001,70.83632,2669,45.88235,79.60784
24.061,70.83632,2669,45.88235,83.13725
24.127,70.83632,2669,45.88235,83.13725
24.189,70.83632,2672,45.88235,83.13725
24.248,70.83632,2672,45.88235,80
24.311,71.45769,2672,45.88235,80
24.374,71.45769,2672,45.88235,80
24.437,71.45769,2677,45.88235,80
24.499,71.45769,2677,45.88235,74.90196
24.563,71.45769,2677,45.88235,74.90196
24.627,71.45769,2681,45.88235,74.90196
24.687,71.45769,2681,45.88235,71.76471
24.751,71.45769,2681,45.88235,71.76471
24.811,71.45769,2691,45.88235,71.76471
24.877,71.45769,2691,45.88235,75.68627
24.937,71.45769,2691,45.88235,75.68627
25.001,71.45769,2691,45.88235,75.68627
25.061,71.45769,2692,45.88235,75.68627
25.127,72.07906,2692,45.88235,73.72549
25.187,72.07906,2692,45.88235,73.72549
25.251,72.07906,2711,45.88235,73.72549
25.314,72.07906,2711,45.88235,75.29412
25.377,72.07906,2711,45.88235,75.29412
25.437,72.07906,2723,45.88235,75.29412
25.501,72.07906,2723,45.88235,74.11765
25.561,72.70043,2723,45.88235,74.11765
25.624,72.70043,2723,45.88235,74.11765
25.688,72.70043,2724,45.88235,74.11765
25.749,72.70043,2724,45.88235,73.72549
25.813,72.70043,2724,45.88235,73.72549
25.877,72.70043,2730,45.88235,73.72549
25.937,72.70043,2730,45.88235,73.72549
26.001,72.70043,2730,45.88235,73.72549
26.061,72.70043,2742,45.88235,73.72549
26.127,72.70043,2742,45.88235,81.17647
26.187,73.3218,2742,45.88235,81.17647
26.251,73.3218,2742,45.88235,81.17647
26.314,73.3218,2745,45.88235,81.17647
26.377,73.3218,2745,45.88235,84.31373
26.437,73.3218,2745,45.88235,84.31373
26.501,73.3218,2741,45.88235,84.31373
26.561,73.3218,2741,45.88235,75.29412
26.624,73.3218,2741,45.88235,75.29412
26.688,73.3218,2741,45.88235,75.29412
26.752,73.3218,2754,45.09804,74.5098
26.811,73.3218,2754,45.09804,74.5098
26.877,73.3218,2754,45.09804,74.5098
26.937,73.3218,2759,45.4902,74.5098
27.001,73.94317,2759,45.4902,83.92157
27.061,73.94317,2759,45.4902,83.92157
27.127,73.94317,2761,45.4902,83.92157
27.187,73.94317,2761,44.31372,78.03922
27.251,73.94317,2761,44.31372,78.03922
27.314,73.94317,2761,44.31372,78.03922
27.377,73.94317,2774,43.52941,78.03922
27.437,73.94317,2774,43.52941,77.64706
27.501,73.94317,2774,43.52941,77.64706
27.561,73.94317,2779,42.35294,77.64706
27.627,73.94317,2779,42.35294,78.43137
27.687,73.94317,2779,42.35294,78.43137
27.751,73.94317,2787,42.35294,78.43137
27.812,73.94317,2787,41.96078,77.25491
27.877,73.94317,2787,41.96078,77.25491
27.937,73.94317,2787,41.96078,77.25491
28.001,73.94317,2797,40,77.25491
28.061,74.56454,2797,40,81.17647
28.124,74.56454,2797,40,81.17647
28.188,74.56454,2805,39.21569,81.17647
28.252,74.56454,2805,39.21569,74.5098
28.312,74.56454,2805,39.21569,74.5098
28.377,74.56454,2813,39.21569,74.5098
28.437,74.56454,2813,39.21569,78.03922
28.501,75.18591,2813,39.21569,78.03922
28.561,75.18591,2813,39.21569,78.03922
28.627,75.18591,2817,39.21569,78.03922
28.687,75.18591,2817,39.21569,80.78432
28.751,75.18591,2817,39.21569,80.78432
28.811,75.18591,2823,39.21569,80.78432
28.874,75.18591,2823,40.39216,77.25491
28.938,75.18591,2823,40.39216,77.25491
29.002,75.18591,2834,40.39216,77.25491
29.062,75.18591,2834,40.39216,77.25491
29.127,75.18591,2834,40.39216,74.11765
29.186,75.18591,2834,40.39216,74.11765
29.249,75.18591,2835,40.39216,74.11765
29.311,75.80729,2835,40.39216,73.33334
29.374,75.80729,2835,40.39216,73.33334
29.437,75.80729,2851,40.39216,73.33334
29.499,75.80729,2851,40.39216,75.29412
29.563,75.80729,2851,40.39216,75.29412
29.627,75.80729,2856,40.39216,75.29412
29.687,75.80729,2856,40,75.29412
29.751,75.80729,2856,40,75.29412
29.811,75.80729,2856,40,75.29412
29.876,75.80729,2856,40,75.29412
29.939,75.80729,2856,40,76.86275
29.999,76.42866,2856,40,76.86275
30.063,76.42866,2856,40,76.86275
30.123,76.42866,2860,40,74.5098
30.187,76.42866,2860,40,74.5098
30.251,76.42866,2860,40,74.5098
30.314,76.42866,2876,40,74.5098
30.377,76.42866,2876,40,73.33334
30.438,76.42866,2876,40,73.33334
30.502,76.42866,2877,40,73.33334
30.562,76.42866,2877,39.60784,74.5098
30.627,76.42866,2877,39.60784,74.5098
30.687,76.42866,2877,39.60784,74.5098
30.751,76.42866,2887,39.21569,74.5098
30.812,77.05003,2887,39.21569,75.29412
30.877,77.05003,2887,39.21569,75.29412
30.937,77.05003,2896,39.21569,75.29412
31.001,77.05003,2896,39.21569,79.60784
31.061,77.05003,2896,39.21569,79.60784
31.127,77.05003,2893,39.21569,79.60784
31.187,77.05003,2893,39.21569,75.29412
31.251,77.05003,2893,39.21569,75.29412
31.312,77.05003,2893,39.21569,75.29412
31.377,77.05003,2900,39.21569,75.29412
31.438,77.05003,2900,39.21569,76.86275
31.502,77.6714,2900,39.21569,76.86275
31.562,77.6714,2906,39.21569,76.86275
31.627,77.6714,2906,39.21569,78.03922
31.687,77.6714,2906,39.21569,78.03922
31.751,77.6714,2920,39.21569,78.03922
31.811,77.6714,2920,39.21569,78.03922
31.877,77.6714,2920,39.21569,74.11765
31.937,77.6714,2920,39.21569,74.11765
32.001,77.6714,2931,39.21569,74.11765
32.061,77.6714,2931,39.21569,79.21568
32.127,78.29277,2931,39.21569,79.21568
32.187,78.29277,2935,39.21569,79.21568
32.251,78.29277,2935,39.21569,72.94118
32.314,78.29277,2935,39.21569,72.94118
32.377,78.29277,2935,39.21569,72.94118
32.438,78.29277,2943,38.82353,72.94118
32.502,78.29277,2943,38.82353,78.03922
32.562,78.29277,2943,38.82353,78.03922
32.627,78.29277,2946,38.82353,78.03922
32.687,78.29277,2946,38.82353,77.25491
32.751,78.91414,2946,38.82353,77.25491
32.811,78.91414,2955,38.82353,77.25491
32.877,78.91414,2955,38.43137,74.90196
32.937,78.91414,2955,38.43137,74.90196
32.998,78.91414,2955,38.43137,74.90196
33.062,78.91414,2963,38.03922,74.90196
33.127,78.91414,2963,38.03922,79.21568
33.187,78.91414,2963,38.03922,79.21568
33.25,78.91414,2962,38.03922,79.21568
33.311,78.91414,2962,37.64706,76.47059
33.377,78.91414,2962,37.64706,76.47059
33.438,78.91414,2962,37.64706,76.47059
33.502,78.91414,2962,37.2549,76.47059
33.562,78.91414,2962,37.2549,71.76471
33.627,78.91414,2962,37.2549,71.76471
33.687,78.91414,2973,37.2549,71.76471
33.751,79.53551,2973,37.2549,74.90196
33.811,79.53551,2973,37.2549,74.90196
33.877,79.53551,2983,37.2549,74.90196
33.937,79.53551,2983,36.86274,77.25491
34.001,79.53551,2983,36.86274,77.25491
34.064,79.53551,2983,36.86274,77.25491
34.127,79.53551,2983,35.68628,77.25491
34.185,79.53551,2983,35.68628,75.68627
34.248,79.53551,2983,35.68628,75.68627
34.311,79.53551,2989,35.68628,75.68627
34.374,79.53551,2989,35.68628,75.68627
34.437,79.53551,2989,35.68628,75.68627
34.499,79.53551,2985,35.68628,75.68627
34.563,79.53551,2985,35.29412,74.5098
34.627,80.15688,2985,35.29412,74.5098
34.687,80.15688,2985,35.29412,74.5098
34.751,80.15688,3009,35.29412,74.5098
34.811,80.15688,3009,35.29412,74.5098
34.873,80.15688,3009,35.29412,74.5098
34.937,80.15688,3010,35.29412,74.5098
35.001,80.15688,3010,35.29412,73.33334
35.061,80.15688,3010,35.29412,73.33334
35.124,80.15688,3012,35.29412,73.33334
35.188,80.15688,3012,35.29412,74.5098
35.252,80.15688,3012,35.29412,74.5098
35.314,80.15688,3018,35.29412,74.5098
35.374,80.15688,3018,35.29412,74.90196
35.438,80.77825,3018,35.29412,74.90196
35.502,80.77825,3018,35.29412,74.90196
35.562,80.77825,3025,35.29412,74.90196
35.627,80.77825,3025,35.29412,75.68627
35.687,80.77825,3025,35.29412,75.68627
35.751,80.77825,3025,35.29412,75.68627
35.811,80.77825,3020,35.29412,75.29412
35.877,80.77825,3020,35.29412,75.29412
35.937,80.77825,3020,35.29412,75.29412
36.001,80.77825,3035,35.29412,75.29412
36.061,80.77825,3035,35.29412,71.37255
36.127,80.77825,3035,35.29412,71.37255
36.187,80.77825,3040,35.29412,71.37255
36.251,80.77825,3040,35.29412,72.15686
36.311,80.77825,3040,35.29412,72.15686
36.377,80.77825,3040,35.29412,72.15686
36.437,80.77825,3047,35.29412,72.15686
36.501,81.39963,3047,35.29412,73.33334
36.561,81.39963,3047,35.29412,73.33334
36.627,81.39963,3051,35.29412,73.33334
36.687,81.39963,3051,34.90196,75.29412
36.751,81.39963,3051,34.90196,75.29412
36.811,81.39963,3052,34.90196,75.29412
