# StartTime = 07/20/2018 01:53:17.7217 PM									
Time (sec)	 Vehicle speed (MPH)	 Engine RPM (RPM)	 Absolute throttle position (%)	 Absolute load value (%)		MPH	RPM	Throttle 	Load
9.748	49.08833	3674	20	20.78431		48	3625	20	20
9.811	49.08833	3674	20	20.78431		48	3625	20	20
9.875	49.08833	3674	20	20.78431		48	3625	20	20
9.938	49.08833	3689	20	20.78431		48	3750	20	20
10.001	49.70969	3689	20	20.78431		51	3750	20	20
10.061	49.70969	3689	20	20.78431		51	3750	20	20
10.125	49.70969	3709	20	20.78431		51	3750	20	20
10.189	49.70969	3709	20	20.78431		51	3750	20	20
10.249	49.70969	3709	20	20.78431		51	3750	20	20
10.311	49.70969	3709	20	20.78431		51	3750	20	20
10.375	49.70969	3720	19.60784	20.78431		51	3750	20	20
10.439	49.70969	3720	19.60784	19.21569		51	3750	20	20
10.499	49.70969	3720	19.60784	19.21569		51	3750	20	20
10.561	49.70969	3738	19.60784	19.21569		51	3750	20	20
10.625	49.70969	3738	19.60784	19.21569		51	3750	20	20
10.689	50.33107	3738	19.60784	19.21569		51	3750	20	20
10.749	50.33107	3757	19.60784	19.21569		51	3750	20	20
10.811	50.33107	3757	19.60784	19.21569		51	3750	20	20
10.875	50.33107	3757	19.60784	19.21569		51	3750	20	20
10.936	50.33107	3757	19.60784	19.21569		51	3750	20	20
11	50.33107	3768	19.21569	19.21569		51	3750	19	20
11.062	50.33107	3768	19.21569	17.2549		51	3750	19	18
11.126	50.33107	3768	19.21569	17.2549		51	3750	19	18
11.186	50.33107	3780	19.21569	17.2549		51	3750	19	18
11.25	50.33107	3780	18.82353	16.07843		51	3750	19	16
11.311	50.95244	3780	18.82353	16.07843		51	3750	19	16
11.375	50.95244	3774	18.82353	16.07843		51	3750	19	16
11.439	50.95244	3774	17.64706	16.07843		51	3750	18	16
11.499	50.95244	3774	17.64706	14.90196		51	3750	18	14
11.561	50.95244	3774	17.64706	14.90196		51	3750	18	14
11.626	50.95244	3776	17.64706	14.90196		51	3750	18	14
11.686	50.95244	3776	17.64706	11.76471		51	3750	18	12
11.75	50.95244	3776	17.64706	11.76471		51	3750	18	12
11.812	50.95244	3787	17.64706	11.76471		51	3750	18	12
11.876	50.95244	3787	17.64706	11.76471		51	3750	18	12
11.939	50.95244	3787	17.64706	11.37255		51	3750	18	12
12	50.95244	3787	17.64706	11.37255		51	3750	18	12
12.062	50.95244	3799	17.64706	11.37255		51	3750	18	12
12.126	50.95244	3799	17.64706	11.37255		51	3750	18	12
12.186	50.95244	3799	17.64706	11.37255		51	3750	18	12
12.25	50.95244	3799	17.64706	11.37255		51	3750	18	12
12.311	50.95244	3810	17.64706	11.37255		51	3750	18	12
12.375	50.95244	3810	17.64706	11.37255		51	3750	18	12
12.439	50.95244	3810	17.64706	11.37255		51	3750	18	12
12.5	50.95244	3810	17.64706	11.37255		51	3750	18	12
12.562	50.95244	3810	17.64706	11.37255		51	3750	18	12
12.626	50.95244	3810	17.64706	11.37255		51	3750	18	12
12.687	50.95244	3810	17.64706	11.37255		51	3750	18	12
12.751	50.95244	3810	17.64706	11.37255		51	3750	18	12
12.811	50.95244	3810	17.64706	11.37255		51	3750	18	12
12.875	50.95244	3814	17.64706	11.37255		51	3875	18	12
12.936	50.95244	3814	17.64706	11.37255		51	3875	18	12
13	50.95244	3814	17.64706	11.37255		51	3875	18	12
13.061	50.95244	3814	17.64706	11.37255		51	3875	18	12
13.125	50.95244	3818	17.64706	11.37255		51	3875	18	12
13.189	50.95244	3818	17.64706	11.37255		51	3875	18	12
13.252	50.95244	3818	17.64706	11.37255		51	3875	18	12
13.311	50.95244	3822	17.64706	11.37255		51	3875	18	12
13.374	50.95244	3822	17.64706	10.98039		51	3875	18	10
13.437	50.95244	3822	17.64706	10.98039		51	3875	18	10
13.5	50.95244	3822	17.64706	10.98039		51	3875	18	10
13.562	50.95244	3822	17.64706	10.98039		51	3875	18	10
13.626	50.95244	3822	17.64706	11.37255		51	3875	18	12
13.69	50.95244	3822	17.64706	11.37255		51	3875	18	12
13.75	50.95244	3822	17.64706	11.37255		51	3875	18	12
13.811	50.95244	3822	17.64706	11.37255		51	3875	18	12
13.875	50.95244	3822	17.64706	11.37255		51	3875	18	12
13.936	50.95244	3822	17.64706	11.37255		51	3875	18	12
